lokalita;plocha;pomno;x_m;y_m;popis
50131424,0;1;1,0;-7,5;-2,22;SM 17 cm
50131424,0;1;2,0;2,69;1,39;SM 13 cm
50132441,0;1;1,0;-11,51;-5,42;LP 26 cm
50132441,0;1;2,0;11,72;0,16;SM 15cm
50132449,0;1;1,0;7,19;10,87;lp 520, hranice oddeleni, u cesty
50132449,0;1;2,0;0,62;-0,37;hb 60, u stredu
50132457,0;1;1,0;6,37;-9,01;lp 170, polykormon
50132457,0;1;2,0;3,76;1,46;lp 90, polykormon
50133417,0;1;1,0;9,84;3,99;HB 5m
50133417,0;1;2,0;-4,91;7,59;DB 36 cm
50134466,0;1;1,0;-1,86;-13,09;bk 90
50134466,0;1;2,0;0,09;6,92;jvm 240 nad cestou
50136485,0;1;1,0;16,79;-8,74;dg 190
50136485,0;1;2,0;-11,25;13,17;dg 420
50138478,0;1;1,0;20,21;0,53;hb 220
50138478,0;1;2,0;9,28;-12,32;hb 230
50138494,0;1;1,0;-5,74;-14,97;md 280 v holine
50138494,0;1;2,0;0,78;14,9;bk 200
50139432,0;1;1,0;-4,89;16,41;md 210
50139432,0;1;2,0;4,34;-12,28;dbz 260
50140449,0;1;1,0;26,92;0,65;dbz 320 pres cestu
50140449,0;1;2,0;1,92;2,34;lp 80
50140457,0;1;1,0;2,4;23,7;dbz 190 pres cestu
50140457,0;1;2,0;-6,33;-12,17;bo 330
50140465,0;1;1,0;2,65;24,21;hb 260
50140465,0;1;2,0;-10,07;-9,76;hb 270
50141440,0;1;1,0;7,17;-7,43;db 115
50141440,0;1;2,0;0,93;-2,35;db 119
50141472,0;1;1,0;20,84;-14,27;hb 180
50141472,0;1;2,0;5,85;15,56;hb 170
50143490,0;1;1,0;3,74;18,55;dbz 280
50143490,0;1;2,0;-15,12;10,35;hb 300
50146484,0;1;1,0;18,51;-2,17;lp 210
50146484,0;1;2,0;12,28;12,21;hb 160
50146500,0;1;1,0;16,45;3,52;dbz 210 pres cestu
50146500,0;1;2,0;11,52;-10,41;dbz 190 pres cestu
50148455,0;1;1,0;27,73;4,04;dg 400
50148455,0;1;2,0;9,42;8,85;md 450 vystavek
50148463,0;1;1,0;-2,25;15,87;tr 170
50148463,0;1;2,0;-8,39;12,34;tr 130
50148471,0;1;1,0;6,55;16,8;md 200
50148471,0;1;2,0;-13,43;-8,55;bo 270
50149448,0;1;1,0;12,22;-8,56;dbz 170
50149448,0;1;2,0;-8,67;10,12;dbz dvojak 150 u cesty
50149480,0;1;1,0;-4,72;13,42;hb 240
50149480,0;1;2,0;-11,65;7,8;hb 200
50151498,0;1;1,0;14,63;-8,31;sm 280
50151498,0;1;2,0;6,76;-11,13;sm 250
50153463,0;1;1,0;2,59;-15,81;bk 220 hranice dilce
50153463,0;1;2,0;-14,68;-2,72;bk 170
50153495,0;1;1,0;11,73;-7,13;hb 235
50153495,0;1;2,0;-5,46;12,15;pamatnik J. Konsela
50154480,0;1;1,0;-4,85;17,15;tr 150 u cesty
50154480,0;1;2,0;-9,13;-4,81;jd 190
50156522,0;1;1,0;21,54;-4,07;br 240 pres cestu
50156522,0;1;2,0;0,0;-16,23;
50159463,0;1;1,0;-0,76;15,71;dbz 200
50159463,0;1;2,0;-12,34;4,17;dbz 210
50160512,0;1;1,0;33,4;-5,35;dbz 340
50160512,0;1;2,0;-2,94;-17,79;sm 220
50162518,0;1;1,0;5,67;15,84;sm 250 u cesty
50162518,0;1;2,0;10,51;-12,62;sm 295
50162526,0;1;1,0;3,12;-14,19;tr 105
50162526,0;1;2,0;2,25;-6,12;balvan u cesty
50162550,0;1;1,0;28,12;-6,33;bo 470 hranice pr
50162550,0;1;2,0;-1,34;-15,37;bk 475 hranice pr
50164545,0;1;1,0;12,68;-11,66;bk 300
50164545,0;1;2,0;-13,28;-1,93;bk 270
50165466,0;1;1,0;-11,1;15,45;bo 150
50165466,0;1;2,0;7,3;-13,01;dbz 100
60000102,0;1;1,0;9,05;8,96;BK
60000102,0;1;2,0;-2,13;1,9;BK
60000107,0;1;1,0;-17,0;15,52;BK
60000107,0;1;2,0;-0,04;3,86;BK
60000109,0;1;1,0;13,55;-3,72;BK
60000109,0;1;2,0;-9,62;-7,57;BK DBH=185mm
60000111,0;1;1,0;8,31;31,9;BK
60000111,0;1;2,0;-4,4;-8,16;BK
60000111,0;1;3,0;-4,22;3,2;BK DBH=90mm
60000116,0;1;1,0;-2,5;17,08;BK
60000116,0;1;2,0;-13,93;1,25;BK DBH=192mm
60000118,0;1;1,0;-15,5;17,18;BK DBH=335mm
60000118,0;1;2,0;17,53;-5,66;BK
60000121,0;1;1,0;-12,58;12,49;nenalezen 2022
60000121,0;1;2,0;2,72;12,53;BK
60000121,0;1;3,0;10,44;-3,77;BK DBH=240mm
60000124,0;1;1,0;-15,93;16,06;
60000124,0;1;2,0;12,59;7,83;BK DBH=175mm
60000124,0;1;3,0;-11,16;6,69;
60000127,0;1;1,0;-0,02;-4,87;BK
60000127,0;1;2,0;-0,49;1,03;BK
60000129,0;1;1,0;-1,31;-21,48;BK
60000129,0;1;2,0;10,84;3,39;BK DBH=220mm
60000131,0;1;1,0;-8,59;17,69;BK
60000131,0;1;2,0;-8,31;-5,49;BK
60000137,0;1;1,0;13,43;10,46;Bk DBH=200mm
60000137,0;1;2,0;1,25;-15,69;
60000520,0;1;1,0;-14,18;-5,92;BK
60000520,0;1;2,0;9,21;-11,02;
60000520,0;1;3,0;0,94;-13,38;BK DBH=120mm
60000523,0;1;1,0;-11,71;10,11;MD
60000523,0;1;2,0;-1,74;-12,04;BK DBH 205
60000531,0;1;1,0;-11,13;-1,24;LP
60000531,0;1;2,0;1,82;4,97;BK 15 cm
60000535,0;1;1,0;17,3;6,78;BK
60000535,0;1;2,0;3,52;-15,48;BK DBH=160mm
60000536,0;1;1,0;-12,9;3,33;
60000536,0;1;2,0;-2,17;3,35;MD
60000536,0;1;3,0;3,56;0,48;BK
60000538,0;1;1,0;-11,91;10,06;BK DBH=220mm
60000538,0;1;2,0;-9,85;8,97;
60000538,0;1;3,0;-0,82;-4,21;MD
60000553,0;1;1,0;22,82;16,5;
60000553,0;1;2,0;7,93;-14,8;
60000553,0;1;3,0;1,6;-16,67;
60000553,0;1;4,0;2,0;6,05;BK DBH=201mm
60000555,0;1;1,0;14,29;-0,52;BK
60000555,0;1;2,0;6,6;-12,54;BK
60000563,0;1;1,0;10,92;-6,1;
60000563,0;1;2,0;-7,45;-9,27;BK DBH=140mm
60000575,0;1;1,0;19,76;-13,82;BK DBH=80mm za cestou
60000575,0;1;2,0;-2,33;1,17;BK
60000576,0;1;1,0;3,15;-19,03;BK
60000576,0;1;2,0;12,83;13,24;BK
60000589,0;1;1,0;-3,3;14,79;BK
60000589,0;1;2,0;7,84;-2,24;BK DBH=185
60000590,0;1;1,0;16,29;2,56;BK
60000590,0;1;2,0;1,51;-8,54;BK
60000596,0;1;1,0;24,61;4,47;
60000596,0;1;2,0;6,25;-4,75;BK DBH=115mm
60000596,0;1;3,0;7,43;0,89;
60000596,0;1;4,0;-1,92;-0,92;BK
60000611,0;1;1,0;-9,17;10,39;HB DBH=170mm
60000611,0;1;2,0;12,74;2,4;BK
60000612,0;1;1,0;18,54;1,66;
60000612,0;1;2,0;-12,3;-5,63;
60000612,0;1;3,0;8,86;-8,1;BK DBH=90mm
60000612,0;1;4,0;1,05;3,37;BK
60000615,0;1;1,0;20,83;7,25;BK
60000615,0;1;2,0;-0,15;-9,12;BK
60000625,0;1;1,0;6,79;-12,62;
60000625,0;1;2,0;1,05;12,47;BK DBH=80mm
60000625,0;1;3,0;6,59;0,23;BK
60000627,0;1;1,0;4,62;-14,25;BK
60000627,0;1;2,0;13,04;-6,61;BK
60000627,0;1;3,0;9,34;-8,56;
60000632,0;1;1,0;-19,69;-15,17;BK DBH=cca 120mm
60000632,0;1;2,0;1,7;-22,67;
60000633,0;1;1,0;-1,5;14,01;BK
60000633,0;1;2,0;-11,86;-5,63;BK
60000643,0;1;1,0;7,75;12,17;BK
60000643,0;1;2,0;-8,23;7,4;BK
60000662,0;1;1,0;-8,38;-15,9;
60000662,0;1;2,0;-10,39;12,27;BK DBH=230mm
60000668,0;1;1,0;11,74;13,27;BK
60000668,0;1;2,0;10,93;-13,17;BK DBH=257mm
60000674,0;1;1,0;15,68;20,55;BK
60000674,0;1;2,0;-5,61;13,61;
60000674,0;1;3,0;-2,49;-9,54;BK
60000677,0;1;1,0;-1,43;19,58;BK
60000677,0;1;2,0;12,63;5,55;BK
60000679,0;1;1,0;2,64;19,68;LP
60000679,0;1;2,0;-1,11;14,83;
60000679,0;1;3,0;8,0;-5,02;BK
60000688,0;1;1,0;15,89;0,58;BK
60000688,0;1;2,0;-7,88;12,53;BK DBH=200mm
60000693,0;1;1,0;-1,12;23,94;BK
60000693,0;1;2,0;5,89;-13,61;BK DBH=310mm
60000697,0;1;1,0;4,21;-11,36;BK
60000697,0;1;2,0;8,97;6,86;BK
60000699,0;1;1,0;15,38;-8,06;BK
60000699,0;1;2,0;-1,2;11,3;BK
60000704,0;1;1,0;-11,38;-10,53;BK
60000704,0;1;2,0;-2,36;12,89;BK dbh=240mm
60000704,0;1;3,0;-8,74;1,61;
60000725,0;1;1,0;-18,6;8,67;nenalezen
60000725,0;1;2,0;3,66;-16,93;JD
60000725,0;1;3,0;-12,49;2,43;BK
60000728,0;1;1,0;17,75;-19,57;
60000728,0;1;2,0;14,26;1,3;BK
60000728,0;1;3,0;-4,51;-11,02;BK
60000731,0;1;1,0;14,73;-16,42;BK
60000731,0;1;2,0;-11,24;-14,76;BK DBH=220mm
60000732,0;1;1,0;3,34;-18,76;BK
60000732,0;1;2,0;11,8;2,37;BK
60000734,0;1;1,0;-22,1;10,12;
60000734,0;1;2,0;1,08;1,03;
60000737,0;1;1,0;15,66;7,28;KL DBH=140mm
60000737,0;1;2,0;-1,32;0,56;BK DBH=67mm
60000747,0;1;1,0;0,98;14,76;BK
60000747,0;1;2,0;6,95;-7,4;BK 23 cm
60000748,0;1;1,0;4,84;-2,94;BK 9 cm
60000748,0;1;2,0;-1,81;2,96;Kl
60000750,0;1;1,0;25,01;2,4;BK
60000750,0;1;2,0;-1,95;-15,02;BK DBH=130mm
60000752,0;1;1,0;-19,08;-5,19;
60000752,0;1;2,0;3,26;-5,46;MD
60000752,0;1;3,0;-0,57;-1,04;KL
60000754,0;1;1,0;3,11;-17,29;DB
60000754,0;1;2,0;-13,25;2,0;HB DBH=130mm
60000755,0;1;1,0;10,42;13,82;BK
60000755,0;1;2,0;4,74;-5,83;JD
60000761,0;1;1,0;-23,55;1,4;BK
60000761,0;1;2,0;4,87;1,71;BK
60000763,0;1;1,0;15,44;-1,95;HB
60000763,0;1;2,0;-1,51;4,65;DB
60000765,0;1;1,0;6,19;14,69;BK
60000765,0;1;2,0;-4,5;-4,88;BK
60000767,0;1;1,0;0,97;13,94;HB
60000767,0;1;2,0;-0,44;-1,95;TR
60000773,0;1;1,0;8,6;0,53;DB
60000773,0;1;2,0;-2,0;-0,46;DG 3m
60000775,0;1;1,0;11,98;5,76;
60000775,0;1;2,0;-2,91;2,19;SM
60000778,0;1;1,0;6,64;1,99;BK
60000778,0;1;2,0;-1,56;-4,09;BK
60000781,0;1;1,0;16,51;-2,64;
60000781,0;1;2,0;3,37;14,06;BK
60000781,0;1;3,0;9,28;0,8;
60000782,0;1;1,0;-21,71;-2,74;
60000782,0;1;2,0;9,88;-12,32;BK DBH=90mm
60000782,0;1;3,0;1,59;1,01;BK
60000788,0;1;1,0;-3,35;4,61;BK
60000788,0;1;2,0;0,05;-4,8;BK
60000791,0;1;1,0;-4,01;-8,16;BK
60000791,0;1;2,0;-3,54;6,03;BK
60000793,0;1;1,0;-2,76;0,87;BK 8 cm
60000793,0;1;2,0;2,28;-0,29;BK 7 cm
60000794,0;1;1,0;3,36;2,98;BK
60000794,0;1;2,0;-0,81;-1,83;BK
60000797,0;1;1,0;-5,99;-9,22;BK
60000797,0;1;2,0;-1,86;3,55;BK
70175479,0;1;1,0;-1,69;-8,35;rohovy sloupek plotu
70175479,0;1;2,0;-0,00459;-2,63;rohovy sloupek plotu
70185497,0;1;1,0;19,04;17,45;dbz 290 u cesty
70185497,0;1;2,0;-13,06;12,57;dbz 260
70188573,0;1;1,0;13,53;-12,06;bk 345
70188573,0;1;2,0;-1,97;-13,89;bk 370
70194535,0;1;1,0;-9,91;11,16;dbz 210
70194535,0;1;2,0;1,93;13,08;dbz 220
70194591,0;1;1,0;-11,33;-16,87;bk 385
70194591,0;1;2,0;-17,76;-1,49;bk 420
70196513,0;1;1,0;13,19;-17,26;bk 250
70196513,0;1;2,0;6,61;19,32;hb 140
70196521,0;1;1,0;-13,73;11,68;MD 240
70196521,0;1;2,0;9,78;-9,34;LP 150
70196577,0;1;1,0;-14,31;10,79;bk 350
70196577,0;1;2,0;1,65;17,15;bk 240
70201514,0;1;1,0;0,31;-16,73;TR 220
70201514,0;1;2,0;12,86;-1,26;BK 180
70201562,0;1;1,0;-10,23;-8,08;bk 230
70201562,0;1;2,0;-0,85;-12,5;bk 195
70202547,0;1;1,0;12,09;14,82;sm 270
70202547,0;1;2,0;-14,77;-8,66;sm 260
70202603,0;1;1,0;7,35;-19,27;sm 235
70202603,0;1;2,0;12,0;3,21;md 482, v plose
70203571,0;1;1,0;-19,72;4,48;bk 325
70203571,0;1;2,0;2,94;19,71;bk 215
70205477,0;1;1,0;-3,1;8,9;DBZ pres cestu, 148
70205477,0;1;2,0;1,14;-5,41;Sloupek plotu
70209485,0;1;1,0;2,86;20,93;OL 305
70209485,0;1;2,0;10,04;8,6;DBZ 141
70210574,0;1;1,0;-9,57;5,68;tr 280 u cesty
70210574,0;1;2,0;-1,44;-4,71;md 227
70210598,0;1;1,0;-12,25;1,39;bk 245, pres cestu
70210598,0;1;2,0;1,02;1,39;bk 89, u stredu
70210606,0;1;1,0;0,65;-8,5;dbz 361, v plose
70210606,0;1;2,0;5,32;-0,25;md 95 pres cestu
70215476,0;1;1,0;0,98;-11,78;bk 104
70215476,0;1;2,0;5,81;8,78;bk 150
70219466,0;1;1,0;0,27;-17,32;bk 338
70219466,0;1;2,0;11,48;11,6;bk 172
70221494,0;1;1,0;17,3;-0,93;bk 330
70221494,0;1;2,0;-13,38;5,9;lp 270
70223488,0;1;1,0;-12,65;-6,5;bk 160
70223488,0;1;2,0;8,71;-9,95;bk 165
70227547,0;1;1,0;-12,6;-4,63;bo 180
70227547,0;1;2,0;-5,17;-11,62;dbz 210
70230500,0;1;1,0;12,6;2,86;
70230500,0;1;2,0;6,74;-9,59;
70233478,0;1;1,0;13,77;-10,0;sm 190
70233478,0;1;2,0;-2,79;-2,75;bk u stredu 130
70236544,0;1;1,0;11,65;-17,02;dbz 280
70236544,0;1;2,0;15,12;4,33;lp 130
70237489,0;1;1,0;16,4;-25,74;lp u linky 220
70237489,0;1;2,0;-2,22;13,14;bk u linky 330
70240477,0;1;1,0;-16,05;11,97;hb 120
70240477,0;1;2,0;6,51;6,81;hb 80 v plose
70240509,0;1;1,0;14,06;-2,73;dbz 120
70240509,0;1;2,0;-1,86;-12,49;hb 115
70240589,0;1;1,0;-26,98;-1,55;MD 235
70240589,0;1;2,0;-0,81;-0,16;AK 77 u stredu
70241627,0;1;1,0;6,68;14,46;tr 300
70241627,0;1;2,0;-13,97;2,69;tr 170 za cestou
70244558,0;1;1,0;-39,01;-6,38;dbz 500 vystavek
70244558,0;1;2,0;29,76;8,42;dbz 540
70245529,0;1;1,0;-20,61;-11,33;bk 450, hranice rezervace
70245529,0;1;2,0;22,15;1,86;dbz 180
70245545,0;1;1,0;19,46;-22,47;bo 180 pres cestu
70245545,0;1;2,0;-3,36;2,39;bk 85 
70247507,0;1;1,0;11,98;21,17;lp 185
70247507,0;1;2,0;7,8;9,67;lp 99
70248484,0;1;1,0;-11,41;-9,3;Bo u linky 175
70248484,0;1;2,0;-14,0;-0,88;hb 95
70248596,0;1;1,0;-10,62;2,55;bk 359 v plose
70248596,0;1;2,0;-3,93;2,79;tr 85
70249529,0;1;1,0;8,55;12,49;dbz 190
70249529,0;1;2,0;-4,11;-3,54;db 196, hranice rezervace
70249577,0;1;1,0;-15,68;15,04;bk 320
70249577,0;1;2,0;2,98;14,93;lp 305
70250594,0;1;1,0;16,08;-10,72;tr 180
70250594,0;1;2,0;-0,57;-13,11;jd 290
70251572,0;1;1,0;21,01;-5,12;bk 260 za cestou
70251572,0;1;2,0;6,23;-13,56;hb 220 za cestou
70251620,0;1;1,0;16,73;11,82;TR 450
70251620,0;1;2,0;-17,13;-9,57;HB 200
70251644,0;1;1,0;-5,12;20,39;hb 220
70251644,0;1;2,0;13,23;-11,18;bk 205
70254508,0;1;1,0;9,7;12,37;bk trojak 190
70254508,0;1;2,0;-7,79;10,93;bk 520
70255557,0;1;1,0;-5,48;-14,2;bk 405
70255557,0;1;2,0;12,71;-5,44;jvm 290 u cesty
70256542,0;1;1,0;-8,89;13,87;md 330 u cesty
70256542,0;1;2,0;-11,95;-5,67;bk 200
70258500,0;1;1,0;-19,23;9,67;dbz 110
70258500,0;1;2,0;4,71;-14,69;dbz 145 u linky
70258596,0;1;1,0;12,51;5,39;bk 185
70258596,0;1;2,0;1,64;-13,42;bk 325
70258612,0;1;1,0;-3,23;-14,36;bk 450
70258612,0;1;2,0;5,75;-11,24;dbz 300
70258620,0;1;1,0;-14,72;-2,46;bk 150
70258620,0;1;2,0;5,28;-12,56;bk 320
70258660,0;1;1,0;15,26;1,44;bk 290
70258660,0;1;2,0;-9,25;9,58;bk 260
70260574,0;1;1,0;11,15;-11,38;bo 175
70260574,0;1;2,0;-4,79;-12,54;dbz 173
70260582,0;1;1,0;7,52;-14,26;hb 160, dvojak
70260582,0;1;2,0;12,25;8,35;hb 145
70263523,0;1;1,0;-10,91;18,9;hb 125
70263523,0;1;2,0;13,52;16,11;hb u cesty 190
70264612,0;1;1,0;18,23;1,82;dbz 190
70264612,0;1;2,0;-9,14;13,76;md 205
70265575,0;1;1,0;5,67;-12,17;md 185
70265575,0;1;2,0;-7,7;-10,25;sm 300
70266664,0;1;1,0;3,62;15,82;jlh 145 u cesty
70266664,0;1;2,0;-1,07;0,35;kl 90 u stredu
70267514,0;1;1,0;-15,08;7,22;bk 175
70267514,0;1;2,0;0,44;-14,03;bk 140
70267562,0;1;1,0;12,97;-3,45;bk 330
70267562,0;1;2,0;0,26;12,62;lp 150
70267650,0;1;1,0;-8,55;-18,77;lp 200
70267650,0;1;2,0;-1,48;-16,96;lp 205
70268635,0;1;1,0;-21,02;3,59;bk 320
70268635,0;1;2,0;16,76;-3,01;bk 270
70272496,0;1;1,0;0,85;-20,31;315 bk
70272496,0;1;2,0;-13,09;-10,41;210 bk
70272512,0;1;1,0;-4,18;19,17;hb 140 pres cestu
70272512,0;1;2,0;-11,7;6,17;hb 110 u cesty
70274500,0;1;1,0;-10,52;-15,37;bk 220
70274500,0;1;2,0;4,4;-13,0;md 130
70274612,0;1;1,0;-12,12;-9,54;md 250, nad cestou
70274612,0;1;2,0;0,92;-2,88;hb 133, v plose
70274636,0;1;1,0;-13,58;8,88;hb 240
70274636,0;1;2,0;-8,48;-13,36;hb 230 u cesty
70276583,0;1;1,0;-16,93;-1,8;md 280 u cesty
70276583,0;1;2,0;15,1;4,32;bk 160 u cesty
70276599,0;1;1,0;20,91;-7,82;bk 270
70276599,0;1;2,0;-16,84;3,09;lp 270
70276655,0;1;1,0;15,7;-4,47;HB 160
70276655,0;1;2,0;-13,22;4,97;BK 330
70278529,0;1;1,0;16,01;-2,65;hb 330
70278529,0;1;2,0;9,98;-12,15;hb 260
70279625,0;1;1,0;-24,51;7,6;jlh 230
70279625,0;1;2,0;12,82;-0,24;jiva 300
70280498,0;1;1,0;-7,1;-17,76;bk 265 pres cestu
70280498,0;1;2,0;-7,85;10,27;lp 105
70281592,0;1;1,0;-2,57;-14,9;hb 220
70281592,0;1;2,0;-11,26;6,93;bk 280
70282609,0;1;1,0;14,93;-5,25;lp 240 u cesty
70282609,0;1;2,0;-14,28;0,00548;bo 280
70284650,0;1;1,0;-10,88;-12,96;bk 230
70284650,0;1;2,0;15,16;1,38;hb 230
70286662,0;1;1,0;-13,05;-5,91;dg 230
70286662,0;1;2,0;-7,03;11,08;hb 125
70288641,0;1;1,0;3,02;16,14;hb 210
70288641,0;1;2,0;-12,48;6,83;hb 210
70289631,0;1;1,0;11,75;-10,0;hb 200
70289631,0;1;2,0;-11,31;-7,6;hb 220
70291522,0;1;1,0;15,81;-19,39;bk 145
70291522,0;1;2,0;12,7;-2,88;bk 270
70291538,0;1;1,0;15,71;-3,16;kastanovnik 300 pod cestou
70291538,0;1;2,0;-10,81;8,0;ol 380 pod cestou
70291610,0;1;1,0;-14,82;12,7;bk 290 pod cestou
70291610,0;1;2,0;-13,58;-4,23;bk 310
70294550,0;1;1,0;-24,57;15,47;bk 320
70294550,0;1;2,0;3,77;3,9;skala 
70295503,0;1;1,0;-17,67;-10,45;md 250
70295503,0;1;2,0;-12,98;-1,22;dbz 130
70296648,0;1;1,0;17,46;1,49;bk 250
70296648,0;1;2,0;5,19;-15,16;hb 130
70297526,0;1;1,0;17,67;3,59;bk za potokem 630
70297526,0;1;2,0;5,24;16,85;bk u cesty 585
70297542,0;1;1,0;-1,53;-1,32;bk 54
70297542,0;1;2,0;0,54;0,32;bk 53 
70298663,0;1;1,0;8,22;4,4;bk 538, tur. znaceni
70298663,0;1;2,0;-1,59;-8,78;bo 568, tur. znaceni
70300616,0;1;1,0;-8,96;13,04;bk 240
70300616,0;1;2,0;13,04;-2,74;bk 250
70301631,0;1;1,0;-13,35;5,54;hb 170 u cesty
70301631,0;1;2,0;2,67;10,94;hb 290 nad cestou
70303514,0;1;1,0;-2,34;22,3;jiz oznacena jablon v loucce
70303514,0;1;2,0;-9,78;10,06;hb 120 pres cestu`
70303650,0;1;1,0;2,24;2,59;md 345 u stredu
70303650,0;1;2,0;-0,18;-1,71;bk 62 u stredu
70304563,0;1;1,0;8,45;22,5;hb 260
70304563,0;1;2,0;-7,52;-13,69;lp 230
70307507,0;1;1,0;2,88;13,11;dbz 145
70307507,0;1;2,0;2,6;-11,64;dbz 150
70307627,0;1;1,0;-4,61;-17,11;hb 260 u cesty
70307627,0;1;2,0;-7,93;-5,63;bk 150 pres cestu
70307675,0;1;1,0;6,66;22,7;blizsi roh el. kaplicky
70307675,0;1;2,0;-0,41;-3,0;balvan u stredu plochy
70308556,0;1;1,0;23,21;-2,35;bk 420
70308556,0;1;2,0;-4,07;-21,75;hb na krizovatce280
70311519,0;1;1,0;-4,61;15,97;kl 435 pres cestu
70311519,0;1;2,0;-11,97;-1,93;bk 220
70312536,0;1;1,0;-12,86;16,63;bk 330
70312536,0;1;2,0;12,74;6,97;bk 290
70313655,0;1;1,0;9,92;18,42;hb 330
70313655,0;1;2,0;-9,24;8,89;bk 270
70315561,0;1;1,0;-3,02;17,08;lp 270
70315561,0;1;2,0;10,85;-11,24;dbz 430 pres cestu
70318533,0;1;1,0;12,84;16,14;bk 400 u cesty
70318533,0;1;2,0;-1,28;-1,57;balvan u stredu
70318573,0;1;1,0;-18,32;-15,7;bk 360 pod cestou
70318573,0;1;2,0;-13,56;13,05;bk 230
70319557,0;1;1,0;-12,86;-6,08;hb 120
70319557,0;1;2,0;12,58;1,05;jv 270
70323643,0;1;1,0;17,53;4,6;hb 210
70323643,0;1;2,0;17,06;-5,51;hb 220
70326540,0;1;1,0;13,7;7,5;bk 175
70326540,0;1;2,0;-0,2;-13,32;bk 240
70326580,0;1;1,0;-9,53;-21,72;bk 380
70326580,0;1;2,0;10,76;-11,87;lp 395
70326596,0;1;1,0;-15,8;12,3;bk 250
70326596,0;1;2,0;-17,5;4,3;bk 368
70327534,0;1;1,0;-18,47;1,45;bk 230
70327534,0;1;2,0;-11,2;-9,56;bk 310
70327550,0;1;1,0;10,19;15,35;bk u cesty 140
70327550,0;1;2,0;-13,14;7,49;bk 150
70327566,0;1;1,0;18,6;13,91;bk 250
70327566,0;1;2,0;16,38;-5,0;bk360 pres cestu
70328519,0;1;1,0;-0,43;-15,72;bk 255
70328519,0;1;2,0;-14,8;-2,58;bk 335
70328591,0;1;1,0;15,37;9,02;bk 290
70328591,0;1;2,0;-15,82;-0,08;bk 160
70332581,0;1;1,0;19,12;-0,13;bk 280
70332581,0;1;2,0;-13,47;6,19;bk 330
70334548,0;1;1,0;-14,63;-1,66;bk 270 u cesty
70334548,0;1;2,0;-6,32;9,52;dg 143 v plose
70334588,0;1;1,0;-13,11;9,38;bk 290
70334588,0;1;2,0;-10,4;-9,56;bk 220
70334876,0;1;1,0;17,19;2,17;KL 19 cm
70334876,0;1;2,0;3,0;-6,02;BK 11 cm
70336527,0;1;1,0;5,08;-15,2;bk 295 pres cestu
70336527,0;1;2,0;13,63;2,3;bk 194
70336599,0;1;1,0;-3,06;-9,54;bk 190 v plose
70336599,0;1;2,0;0,72;-3,14;bk 183 u stredu
70338899,0;1;1,0;20,01;4,1;BK 39 cm
70338899,0;1;2,0;-7,97;16,28;DB 33 cm
70339539,0;1;1,0;14,88;9,81;bk 170
70339539,0;1;2,0;16,97;-1,42;bk 380
70340572,0;1;1,0;-7,26;-11,53;hb 175
70340572,0;1;2,0;9,03;-2,32;bk 340
70342911,0;1;1,0;10,01;-6,11;OL 26 cm
70342911,0;1;2,0;-7,02;6,14;DB 30 cm
70345574,0;1;1,0;-10,3;17,63;bk 440
70345574,0;1;2,0;13,35;9,56;bk 250
70349913,0;1;1,0;-11,59;-13,67;DB 30 cm
70349913,0;1;2,0;-9,7;5,44;HB 28 cm
70350554,0;1;1,0;8,08;-12,78;dg 295
70350554,0;1;2,0;2,11;3,42;os 105 v plose
70351572,0;1;1,0;-4,06;-19,1;bk 230
70351572,0;1;2,0;-17,71;-3,37;bk 380
70351884,0;1;1,0;-10,08;-11,15;HB 43 cm
70351884,0;1;2,0;-11,02;8,83;JD 28 cm
70353582,0;1;1,0;-10,21;-19,29;md 360
70353582,0;1;2,0;-0,5;-9,61;lp 190 v plose
70353598,0;1;1,0;-14,06;9,06;lp 240
70353598,0;1;2,0;0,05;-16,72;bk 250
70354455,0;1;1,0;4,62;13,35;BO DBH=245mm
70354455,0;1;2,0;9,82;6,4;DB DBH=160mm
70355856,0;1;1,0;-7,99;12,74;BK 28 cm
70355856,0;1;2,0;-6,74;-6,58;BK 26 cm
70356913,0;1;1,0;10,2;16,07;BK 39 cm
70356913,0;1;2,0;-1,74;12,6;DG 70 cm bez pruhu
70359572,0;1;1,0;-20,65;1,77;bk 230
70359572,0;1;2,0;6,46;12,67;bk pres pesinu290  
70359884,0;1;1,0;-4,8;22,21;DB 48
70359884,0;1;2,0;10,73;-9,04;DB 19 cm
70360477,0;1;1,0;-3,91;14,51;DB DBH=279mm
70360477,0;1;2,0;-14,01;2,97;DB DBH=167mm
70360597,0;1;1,0;11,99;10,02;bk 260
70360597,0;1;2,0;-11,19;-8,78;lp 310 u tur. pesiny
70360709,0;1;1,0;-3,7;-15,08;BK DBH=142mm
70360709,0;1;2,0;13,47;4,24;BK DBH=290mm
70360901,0;1;1,0;-0,29;14,02;DB  21 cm
70360901,0;1;2,0;-2,55;1,62;HB z jine inventarizace
70360909,0;1;1,0;-9,5;-5,98;DB 26 cm
70360909,0;1;2,0;-1,12;10,67;DB 24 cm
70361470,0;1;1,0;14,31;8,06;LP DBH 214 za cestou
70361470,0;1;2,0;10,32;-7,78;HB DBH 148 za cestou
70362703,0;1;1,0;2,71;11,48;BO DBH=180mm
70362703,0;1;2,0;4,52;-10,84;BK DBH=133mm
70362759,0;1;1,0;11,26;-10,54;DG DBH=242mm
70362759,0;1;2,0;-11,96;-7,7;DG DBH=222mm
